Unnamed: 0,Url,Price,Area,Price per cent,Location,Latitude,Longitude,distance_to_technopark,distance_to_agasthyamalai_hills,distance_to_ponmudi_hills,distance_to_nearest_beach,distance_to_nearest_lake,density,price_to_price_per_cent_ratio,beach_proximity,lake_proximity
0,https://www.magicbricks.com/propertyDetails/plot-land-for-sale-in-kachani-trivandrum&id=4d423732303439333335,2500000,5.0,500000.0,kachani,8.5526,76.9945,17.21477248,42.49269778,46.67588702,15.66521024,14.07399545,Low,5.0,Inland,Inland
1,https://www.magicbricks.com/propertyDetails/plot-land-for-sale-in-sreekaryam-trivandrum&id=4d423733323235393439,18000000,16.99724518,1058995.138,sreekariyam,8.5468,76.9164,6.659485,49.753912,53.937105,8.572485,6.981275,High,16.997245175265384,Inland,Inland
2,https://www.magicbricks.com/propertyDetails/plot-land-for-sale-in-puliyarakonam-trivandrum&id=4d423734333134373437,7600000,7.998163453,950218.14,puliyarakonam,8.5399,77.0176,20.788535,42.973616,47.156809,17.943719,17.133328,Low,7.998163453288736,Inland,Inland
3,https://www.magicbricks.com/propertyDetails/plot-land-for-sale-in-sreekaryam-trivandrum&id=4d423734373838393633,82500000,66.98806244,1231562.714,sreekariyam,8.5468,76.9164,6.659485,49.753912,53.937105,8.572485,6.981275,Low,66.98806245282285,Inland,Inland
4,https://www.magicbricks.com/propertyDetails/plot-land-for-sale-in-ulloor-trivandrum&id=4d423735373636343137,10000000,5.99862259,1667049.368,ulloor,8.53,76.9289,9.111596,49.531731,53.714924,6.992217,5.401007,High,5.998622591481646,Inland,Inland
5,https://www.magicbricks.com/propertyDetails/plot-land-for-sale-in-vattaiyurkavu-trivandrum&id=4d423733363630393339,25800000,21.99724518,1172874.139,vattiyoorkavu,8.5242,76.9881,16.515234,46.077624,50.260817,12.939844,12.129453,Low,21.997245179263007,Inland,Inland
6,https://www.magicbricks.com/propertyDetails/plot-land-for-sale-in-balaramapuram-trivandrum&id=4d423733393134333433,25000000,25.0,1000000.0,balaramapuram,8.4321,77.0503,28.722221,51.713743,55.896936,10.107014,7.286278,Low,25.0,Inland,Inland
7,https://www.magicbricks.com/propertyDetails/land-for-sale-in-nedumangad-trivandrum&id=4d423735313734303233,79100000,225.9641873,350055.4709,nedumangad,8.608,77.0046,20.217621,34.3255,38.508693,21.839424,20.248214,High,225.9641873233183,Inland,Inland
9,https://www.magicbricks.com/propertyDetails/plot-land-for-sale-in-karyavattom-trivandrum&id=4d423735303934333739,11600000,10.99862259,1054677.52,karyavattom,8.5678,76.8908,2.866703,52.08072,56.263913,5.540415,9.009202,Low,10.998622593188484,Inland,Inland
12,https://www.magicbricks.com/propertyDetails/plot-land-for-sale-in-pravachambalam-trivandrum&id=4d423734383631323137,4000000,8.999081726,444489.7959,pravachambalam,8.4494,77.0115,23.16121,54.077387,58.26058,9.69703,4.605345,Low,8.999081726726317,Inland,Inland
13,https://www.magicbricks.com/propertyDetails/plot-land-for-sale-in-thamalam-poojappura-trivandrum&id=4d423733303232313835,7200000,6.999540863,1028638.898,poojappura,8.488,76.9809,17.666302,51.066598,55.249791,9.785814,10.264713,Low,6.999540863172763,Inland,Inland
14,https://www.magicbricks.com/propertyDetails/plot-land-for-sale-in-kazhakkottam-trivandrum&id=4d423734333130353839,8250000,10.99862259,750093.9261,kazhakkoottam,8.5686,76.8731,1.3051,54.06213,58.245323,3.089955,8.289953,Low,10.998622589699703,Inland,Inland
15,https://www.magicbricks.com/propertyDetails/plot-land-for-sale-in-kunnappuzha-trivandrum&id=4d423734373136363731,3000000,3.999081726,750172.2159,kunnapuzha,8.4912,76.9963,19.593986,49.915616,54.098809,11.672219,9.947392,Low,3.999081726055165,Inland,Inland
16,https://www.magicbricks.com/propertyDetails/plot-land-for-sale-in-vattapara-trivandrum&id=4d423734313832363231,9000000,19.99770432,450051.6587,vattappara,8.5927,76.9499,12.137705,42.670325,46.853518,14.811417,15.145692,Low,19.99770432131506,Inland,Inland
18,https://www.magicbricks.com/propertyDetails/plot-land-for-sale-in-pangappara-trivandrum&id=4d423639363539313737,2600000,5.0,520000.0,pangappara,8.5587,76.898,4.164973,51.468139,55.651332,6.838685,8.480528,Low,5.0,Inland,Inland
19,https://www.magicbricks.com/propertyDetails/plot-land-for-sale-in-cheruvikka-trivandrum&id=4d423735313731323331,8400000,6.999540863,1200078.714,cheruvikka,8.9066,76.8015,40.40905011,68.51878628,71.18403276,22.73098559,33.9358138,Low,6.999540865116953,Inland,Inland
21,https://www.magicbricks.com/propertyDetails/plot-land-for-sale-in-alathara-trivandrum&id=4d423734393730303937,5300000,6.999540863,757192.5222,alathara,8.5326,76.8983,6.901241,53.108384,57.291577,6.638185,4.550691,Low,6.999540862607848,Inland,Inland
23,https://www.magicbricks.com/propertyDetails/plot-land-for-sale-in-sreevaraham-trivandrum&id=4d423732353830353937,11500000,4.997704316,2301056.5,sreevaraham,8.4776,76.942,14.170828,53.174086,57.357279,5.036668,7.29075,Low,4.997704315387302,Inland,Inland
24,https://www.magicbricks.com/propertyDetails/plot-land-for-sale-in-neyyattinkara-trivandrum&id=4d423530303433343036,9900000,21.99724518,450056.3556,neyyattinkara,8.4027,77.0861,33.284209,54.674092,58.857285,11.435348,11.848266,Low,21.997245182332005,Inland,Inland
25,https://www.magicbricks.com/propertyDetails/plot-land-for-sale-in-pattam-trivandrum&id=4d423736303733323631,19800000,10.99862259,1800225.423,pattom,8.5207,76.9423,11.838466,48.973988,53.157181,7.873973,6.282763,Low,10.998622587500254,Inland,Inland
26,https://www.magicbricks.com/propertyDetails/plot-land-for-sale-in-pothencode-trivandrum&id=4d423735343131393631,8000000,50.0,160000.0,pothencode,8.6195,76.8987,8.680096,47.789459,51.972652,11.139722,14.389154,Low,50.0,Inland,Inland
27,https://www.magicbricks.com/propertyDetails/plot-land-for-sale-in-nedumangad-trivandrum&id=4d423732383037343639,400000,5.0,80000.0,nedumangad,8.608,77.0046,20.217621,34.3255,38.508693,21.839424,20.248214,Low,5.0,Inland,Inland
28,https://www.magicbricks.com/propertyDetails/plot-land-for-sale-in-vellayambalam-trivandrum&id=4d423735303434393939,20400000,9.997704316,2040468.427,vellayambalam,8.5086,76.9657,14.934039,48.781893,52.965086,9.77404,9.187967,Low,9.997704316353042,Inland,Inland
29,https://www.magicbricks.com/propertyDetails/plot-land-for-sale-in-mangattukonam-trivandrum&id=4d423632303435313333,3000000,5.509641873,544500.0,mangattukonam,8.5921,76.8937,5.847951,51.056459,55.239652,8.521663,12.06546,Low,5.509641873278237,Inland,Inland
31,https://www.magicbricks.com/propertyDetails/plot-land-for-sale-in-chittazha-trivandrum&id=4d423732333631383239,16800000,28.00734619,599842.6229,chittazha,8.5803,76.9456,10.70382784,44.020858,48.20404724,13.37754243,12.73452726,Low,28.0073461915372,Inland,Inland
32,https://www.magicbricks.com/propertyDetails/plot-land-for-sale-in-thamalam-poojappura-trivandrum&id=4d423735343437393939,3500000,3.999081726,875200.9186,poojappura,8.488,76.9809,17.666302,51.066598,55.249791,9.785814,10.264713,Low,3.999081725826698,Inland,Inland
33,https://www.magicbricks.com/propertyDetails/plot-land-for-sale-in-naruvamoodu-trivandrum&id=4d423735313634303739,3600000,6.019283747,598077.8032,naruvamoodu,8.45,77.0343,25.65008559,51.49093777,55.67412702,12.1871495,7.0954625,Low,6.019283746593323,Inland,Inland
34,https://www.magicbricks.com/propertyDetails/plot-land-for-sale-in-chakka-trivandrum&id=4d423535363433393931,950000,8.953168044,106107.6923,chakka,8.4988,76.9198,10.94231073,52.73668913,56.91987838,5.355596004,3.948278567,Low,8.953168044726198,Inland,Inland
35,https://www.magicbricks.com/propertyDetails/plot-land-for-sale-in-mangattukonam-trivandrum&id=4d423634363133313737,5250000,7.412764004,708237.8445,mangattukonam,8.5921,76.8937,5.847951,51.056459,55.239652,8.521663,12.06546,Low,7.412764004028028,Inland,Inland
38,https://www.magicbricks.com/propertyDetails/plot-land-for-sale-in-kumarapuram-trivandrum&id=4d423735393337323031,14800000,8.748852158,1691650.485,kumarapuram,8.5118,76.9253,11.265095,50.934787,55.11798,5.661267,4.070057,Low,8.748852160202585,Inland,Inland
39,https://www.magicbricks.com/propertyDetails/land-for-sale-in-thiruvallam-trivandrum&id=4d423633303936343831,2500000,3.443526171,726000.0,thiruvallam,8.4479,76.9557,18.116752,56.031606,60.214799,6.992976,10.639722,Low,3.443526170798898,Inland,Inland
40,https://www.magicbricks.com/propertyDetails/plot-land-for-sale-in-kazhakkottam-trivandrum&id=4d423531333836383338,75000000,33.92102847,2211017.867,kazhakkoottam,8.5686,76.8731,1.3051,54.06213,58.245323,3.089955,8.289953,Low,33.92102846358409,Inland,Inland
41,https://www.magicbricks.com/propertyDetails/plot-land-for-sale-in-amboori-trivandrum&id=4d423735343330383639,4500000,44.99540863,100010.2041,amboori,8.5041,77.1916,45.65069881,51.48394518,55.66713443,31.94455031,31.69775382,Low,44.995408623508645,Inland,Inland
42,https://www.magicbricks.com/propertyDetails/plot-land-for-sale-in-kudappanakunnu-trivandrum&id=4d423730373936303939,12100000,10.99862259,1100137.758,kudappanakunnu,8.549,76.9624,12.911424,44.62843,48.811623,12.428108,10.836898,Low,10.998622592499004,Inland,Inland
43,https://www.magicbricks.com/propertyDetails/plot-land-for-sale-in-malayinkeezhu-trivandrum&id=4d423638353936343535,360000,3.443526171,104544.0,malayinkeezh,8.4902,77.0361,24.337032,47.113524,51.296717,16.808597,11.716912,Low,3.443526170798898,Inland,Inland
44,https://www.magicbricks.com/propertyDetails/plot-land-for-sale-in-vettukkad-trivandrum&id=4d423239353536383835,16800000,15.99862259,1050090.4,vettukkad,8.4965,76.9017,11.1397871,55.98303373,60.16622298,0.477177484,5.652523663,Low,15.998622594778508,Beachfront,Inland
45,https://www.magicbricks.com/propertyDetails/plot-land-for-sale-in-marayamuttom-trivandrum&id=4d423631343637353433,2000000,9.997704316,200045.9242,marayamuttom,8.4165,77.1082,36.100454,55.447474,59.630667,14.522803,15.175828,Low,9.997704317136996,Inland,Inland
46,https://www.magicbricks.com/propertyDetails/plot-land-for-sale-in-thirumala-trivandrum&id=4d423735393934373033,1300000,3.999081726,325074.6269,thirumala,8.5041,76.9917,18.7736,48.798465,52.981658,11.666181,11.668466,Low,3.999081725932145,Inland,Inland
47,https://www.magicbricks.com/propertyDetails/plot-land-for-sale-in-kulathoor-trivandrum&id=4d423731333035393439,42000000,34.9862259,1200472.441,kulathoor,8.3319,77.0967,40.38119,64.786367,68.96956,5.40518,19.586336,Low,34.986225893710454,Inland,Inland
48,https://www.magicbricks.com/propertyDetails/plot-land-for-sale-in-kumarapuram-trivandrum&id=4d423734383737373031,6000000,3.999081726,1500344.432,kumarapuram,8.5118,76.9253,11.265095,50.934787,55.11798,5.661267,4.070057,Low,3.999081725522077,Inland,Inland
49,https://www.magicbricks.com/propertyDetails/plot-land-for-sale-in-techopark-trivandrum&id=4d423632353733303631,10000000,9.997704316,1000229.621,technopark,8.5581,76.8816,2.724974884,53.80764552,57.99083477,5.398689473,7.571957401,High,9.997704317136996,Inland,Inland
